IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.214.231,8080,8080,false,SIN,Asia Pacific,Singapore,313,0.00
8.217.250.222,2082,2082,false,HKG,Asia Pacific,Hong Kong,318,0.00
8.217.207.60,2086,2086,false,HKG,Asia Pacific,Hong Kong,319,0.00
8.218.11.90,2086,2086,false,HKG,Asia Pacific,Hong Kong,319,0.00
47.76.32.108,2082,2082,false,HKG,Asia Pacific,Hong Kong,320,0.00
8.218.211.17,80,80,false,HKG,Asia Pacific,Hong Kong,321,0.00
8.217.149.28,2095,2095,false,HKG,Asia Pacific,Hong Kong,322,0.00
8.218.85.128,8080,8080,false,HKG,Asia Pacific,Hong Kong,323,0.00
47.243.173.187,2095,2095,false,HKG,Asia Pacific,Hong Kong,323,0.00
8.218.52.115,2095,2095,false,HKG,Asia Pacific,Hong Kong,324,0.00
47.242.17.250,2052,2052,false,HKG,Asia Pacific,Hong Kong,325,0.00
8.210.174.156,2082,2082,false,HKG,Asia Pacific,Hong Kong,325,0.00
8.210.89.245,80,80,false,HKG,Asia Pacific,Hong Kong,325,0.00
47.76.80.72,2095,2095,false,HKG,Asia Pacific,Hong Kong,327,0.00
8.219.49.65,80,80,false,SIN,Asia Pacific,Singapore,327,0.00
8.210.192.93,80,80,false,HKG,Asia Pacific,Hong Kong,327,0.00
47.243.107.148,8080,8080,false,HKG,Asia Pacific,Hong Kong,327,0.00
8.219.113.232,80,80,false,SIN,Asia Pacific,Singapore,328,0.00
8.218.122.55,2096,2096,true,HKG,Asia Pacific,Hong Kong,330,0.00
47.243.107.148,2082,2082,false,HKG,Asia Pacific,Hong Kong,331,0.00
8.210.119.11,80,80,false,HKG,Asia Pacific,Hong Kong,331,0.00
8.219.98.13,2052,2052,false,SIN,Asia Pacific,Singapore,331,0.00
8.210.156.6,2095,2095,false,HKG,Asia Pacific,Hong Kong,332,0.00
8.210.119.11,8080,8080,false,HKG,Asia Pacific,Hong Kong,333,0.00
